id;bailleur;type_cooperation;type_fond;montant_a_rembourser;interet;total;echeance;date
1;payment Investor;Nepalese Rupee;embrace SAS;91614;96108;51688;2020-07-07;2020-07-08
2;purple Chicken Technician;Fantastic Steel Hat Sleek Plastic Fish;JSON Cambridgeshire;96699;44931;82547;2020-07-08;2020-07-07
3;Awesome Plastic Table Fantastic invoice;Estate driver Home Loan Account;Multi-lateral Outdoors;51987;20003;17933;2020-07-08;2020-07-07
4;Generic Wooden Soap value-added Checking Account;Licensed backing up;Representative Focused reintermediate;38773;3393;91997;2020-07-07;2020-07-07
5;Nepal;Shoes navigate;Shirt;34080;59952;32975;2020-07-08;2020-07-08
6;quantifying;frictionless Soft;Iowa Credit Card Account Concrete;90010;37332;62704;2020-07-07;2020-07-07
7;Panama Jewelery;deploy Kids Cape;Buckinghamshire;77775;346;48335;2020-07-08;2020-07-08
8;Plain Producer;Glens monitor back up;engage;77741;55156;25617;2020-07-08;2020-07-07
9;Ergonomic Cloned Sausages;synthesizing Colorado;Games;99085;48849;20866;2020-07-07;2020-07-08
10;Unbranded Plastic Chips Tasty;copying markets Brunei Darussalam;navigate Officer Refined Steel Chicken;1803;54228;74175;2020-07-08;2020-07-08
