id;organisme;categorie;groupe;principale;interet;total;echeance;date
1;matrix Function-based;Rubber Cambridgeshire;Avon Wooden Minnesota;87553;35177;63189;2020-07-08;2020-07-07
2;interfaces Licensed;Product encompassing;deposit;70009;98903;66999;2020-07-08;2020-07-07
3;New York e-markets holistic;Monitored;expedite gold Buckinghamshire;86266;40049;59600;2020-07-07;2020-07-07
4;archive Avon Kip;reboot Assurance Green;Organized Beauty Representative;14080;50366;35705;2020-07-07;2020-07-08
5;Home Loan Account invoice Computer;Chair;Frozen;25774;35521;14962;2020-07-07;2020-07-08
6;Home;Saint Kitts and Nevis Salad;Supervisor Personal Loan Account;64563;95751;63359;2020-07-08;2020-07-07
7;bandwidth;microchip;Music overriding;59044;93530;51187;2020-07-07;2020-07-07
8;array;Toys Response;solution leading edge Money Market Account;3890;22217;46149;2020-07-07;2020-07-07
9;Egyptian Pound;Practical Frozen Bacon back-end;applications Music Manager;25831;29147;91566;2020-07-07;2020-07-07
10;calculate;fuchsia Guatemala methodologies;Checking Account;61954;71620;77156;2020-07-07;2020-07-07
